Id|Prompt|Relationship
SLP05S02R01Pf|Kanji: "She's always apologizing for me. She's been sprouting more and more white hairs..."|Friend
SLP05S03R01Pf|Kanji: "... ..."|Friend
SLP05S03R02Pf|Kanji: "Sorry. Looks like it was no big deal..."|Friend
SLP05S03R03Pf|Kanji's Mother: "He's always had trouble getting along with people. He didn't have any friends like you before."|Friend
SLP05S04R01Pf|Kanji: "Ughh... When you met Ma at the Hospital... She say anything about me?"|Friend
SLP05S04R02Pf|Kanji: "Oh, uhh... I'm gonna go now."|Friend
SLP05S04R03Pf|Kanji: "Oh... Anyways, sorry 'bout dragging you into this..."|Friend
SLP05S05R01Pf|Kanji: "Er... "|Friend
SLP05S05R02Pf|Kanji: "Hah, he said I'm cool..."|Friend
SLP05S06R01Pf|Kanji: "Strange situation I got myself into, ain't it?"|Friend
SLP05S07R01Pf|Kanji: "That okay with you 'big bro'?"|Friend
SLP05S07R02Pf|Kanji: "There's something else I gotta confront too, ain't there?"|Friend
SLP05S08R01Pf|Police Officer: "... Come with me."|Friend
SLP05S08R02Pf|Police Officer: "Hmph, so you admit it. Not a shred of remorse, either."|Friend
SLP05S08R03Pf|Police Officer: "What a load of... There's no way you're getting me to believe that."|Friend
SLP05S09R01Pf|Kanji: "Its the first time I went on my own... Well, I had a lot to tell him."|Friend
SLP05S09R02Pf|Kanji: "As long as there's someone like that snot-nosed kid to accept me, I ain't afraid of nothing!"|Friend
SLP06S01R01Pf|Dojima: "Uhhh... Well, how's school?"|Friend
SLP06S01R02Pf|Dojima: "You know what I'm talking about, right?"|Friend
SLP06S02R01Pf|Dojima: "So... What have you been doing after school?"|Friend
SLP06S02R02Pf|Dojima: "But its not as if we have much in common... except for the murders."|Friend
SLP06S02R03Pf|Dojima: "You're more like a very young brother to me than a son."|Friend
SLP06S03R01Pf|Dojima: "'When is always,' huh...?"|Friend
SLP06S03R02Pf|Dojima: "Plus... I'm not fit to be her family."|Friend
SLP06S04R01Pf|Dojima: "All we've got is instant, though. How do you take it?"|Friend
SLP06S04R02Pf|Dojima: "Go watch TV with Nanako. I'll bring it to you when it's ready."|Friend
SLP06S05R01Pf|Dojima: "Oh... Sorry, I wasn't talking about you."|Friend
SLP06S05R02Pf|Dojima: "It's late. Go to sleep."|Friend
SLP06S06R01Pf|Dojima: "Let's stop there."|Friend
SLP06S06R02Pf|Dojima: "I don't need a private life to do that. ...Nanako will understand."|Friend
SLP06S07R01Pf|Dojima: "I can do that anytime."|Friend
SLP06S08R01Pf|Dojima: "Sorry, but my hands are full here."|Friend
SLP06S08R02Pf|Dojima: "Do you understand why?"|Friend
SLP06S09R01Pf|Dojima: "Er... Sorry about making you go along with this."|Friend
SLP06S09R02Pf|Dojima: "That's why I used revenge as an excuse to spend time away from her..."|Friend
SLP06S10R01Pf|Dojima: "This is your personal mug. Write your name on it later."|Friend
SLP06S10R02Pf|Dojima: "Main Character, take care of Nanako."|Friend
SLP07S01R01Pf|Rise: "... ..."|Friend
SLP07S02R01Pf|Rise: "But it's a little embarrassing to show up alone, you know?"|Friend
SLP07S03R01Pf|Rise: "It'll take time to get back, so let's walk around quick!"|Friend
SLP07S04R01Pf|Rise is worried...|Friend
SLP07S04R02Pf|Rise looks desperate...|Friend
SLP07S04R03Pf|Rise: "I'm sorry... Lying about marrying you and all...|Friend
SLP07S05R01Pf|Rise: "Senpai, have you ever thought that you're pushing yourself too far, or that you were just acting...?"|Friend
SLP07S05R02Pf|Rise: "You're with me right now because I am Risette, yeah?"|Friend
SLP07S06R01Pf|Inoue: "A fan letter came, you see..."|Friend
SLP07S06R02Pf|Rise: "To think I trusted him... I feel betrayed!"|Friend
SLP07S06R03Pf|Rise: "I gave up on being Risette. I can't meet her expectations..."|Friend
SLP07S06R04Pf|Rise: "Doesn't that sound fun? H-how about it? Haha... Ha..."|Friend
SLP07S07R01Pf|Rise: "... She was cute, so I figured she would sell."|Friend
SLP07S07R02Pf|Rise: "You like having such a cuter underclassman, right? I'm an ex-idol, after all."|Friend
SLP07S07R03Pf|Rise looks helpless...|Friend
SLP07S08R01Pf|Rise: "Senpai... I... I don't know why I'm crying..."|Friend
SLP07S08R02Pl|...You sense this is an important moment. There's no turning back.|Lover
SLP07S08R02Pf|...You sense this is an important moment. There's no turning back.|Friend
SLP07S09R01Pf|Rise: "And yet... I felt so angry about it... Why do you think that is?"|Friend
SLP07S10R01Pl|Rise: "I'll ask the man himself! So—where do you hide them!?"|Lover
SLP08S01R01Pf|Chie: "Oh, mornin'."|Friend
SLP08S01R02Pf|Chie: "I dunno, I guess that's what draws people to you, or something like that."|Friend
SLP08S01R03Pf|You haven't yet asked Chie for her contact information.|Friend
SLP08S02R01Pf|Chie: "Still, now's the time to train right?"|Friend
SLP08S02R02Pf|Chie: "...No?"|Friend
SLP08S03R01Pf|Chie: "But me, I totally lose it... Kinda funny, huh?"|Friend
SLP08S04R01Pf|Chie: "W-well..."|Friend
SLP08S04R02Pf|What should you do?|Friend
SLP08S05R01Pf|Chie: "Mmm... The meat and rice just flow through my veins..."|Friend
SLP08S05R02Pf|Chie: "I hope she's not straining herself. Makes you worry, huh?"|Friend
SLP08S06R01Pf|Chie: "What cowards, ganging up on the weak like that!"|Friend
SLP08S06R02Pf|Chie: "We'll grab 'em and make them apologize! Right, leader?"|Friend
SLP08S07R01Pf|Things aren't looking good...|Friend
SLP08S07R02Pf|Chie: "I charged in by myself... Caused you trouble..."|Friend
SLP08S08R01Pf|Chie: "I feel like I missed the point..."|Friend
SLP08S09R01Pf|Things aren't looking good...|Friend
SLP08S09R02Pf|Chie: "...Was that stupid of me?"|Friend
SLP08S09R03Pl|What to do?|Lover
SLP08S09R03Pf|What to do?|Friend
SLP08S10R01Pl|Chie: "Oh w-well, how did the room you had back home look?"|Lover
SLP08S10R02Pl|Chie: " I was thinking... maybe both of us together..."|Lover
SLP08S10R03Pl|What should you do?|Lover
SLP08S10R04Pl|Chie: "Wh-what am I saying...?|Lover
SLP08S10R01Pf|Chie: "We are always teammates... That's it!"|Friend
SLP09S01R01Pf|Nanako: "U-um..."|Friend
SLP09S02R01Pf|Nanako is fidgeting.|Friend
SLP09S02R02Pf|Nanako: "Are you an only child?"|Friend
SLP09S03R01Pf|Nanako: "Dad'll be disappointed."|Friend
SLP09S03R02Pf|Nanako looks sad.|Friend
SLP09S04R01Pf|Nanako is nodding her head cheerfully.|Friend
SLP09S04R02Pf|Nanako: "What happens to a person when they die?"|Friend
SLP09S04R03Pf|Nanako: "Why do bad people do bad things?"|Friend
SLP09S04R04Pf|Nanako: "Are bad people more important to Dad than I am?"|Friend
SLP09S05R01Pf|Nanako: "What do they mean by 'real'?"|Friend
SLP09S05R02Pf|Nanako: "Daddy doesn't come home because I'm not his 'real' daughter?"|Friend
SLP09S05R03Pf|What should you do...?|Friend
SLP09S06R01Pf|Nanako looks like she's about to cry...|Friend
SLP09S06R02Pf|Nanako: "He can't come, huh?"|Friend
SLP09S07R01Pf|Dojima: "What's gotten into her...?"|Friend
SLP09S07R02Pf|Dojima: "She'll listen to you..."|Friend
SLP09S07R03Pf|Nanako: "Big bro..."|Friend
SLP09S07R04Pf|Nanako: "Is he going to throw me away, too...?"|Friend
SLP09S08R01Pf|Nanako: "What should I do...? The teacher is will yell at me."|Friend
SLP09S08R02Pf|Nanako: "Why did Dad stop smiling...?"|Friend
SLP09S09R01Pf|Nanako: "Big bro... I love my Dad."|Friend
SLP09S09R02Pf|Nanako: ...I feel sorry for him, losing someone he loves."|Friend
SLP09S09R03Pf|What would you do...?|Friend
SLP09S10R01Pf|Nanako: "Big bro, can you make me a salad?"|Friend
SLP09S10R02Pf|Nanako: "You're my family, too, so... Let's work hard together!"|Friend
SLP11S01R01Pf|Naoto: "What sort of person gave this to you?"|Friend
SLP11S01R02Pf|Naoto: "The man is most likely still here in Inaba. I cannot drag you further into this."|Friend
SLP11S02R01Pf|Naoto: "I'd chalk it up as a prank."|Friend
SLP11S02R02Pf|Naoto: "... ..."|Friend
SLP11S02R03Pf|Naoto: "I don't know about those, but my belongings aren't of any particular value, so..."|Friend
SLP11S03R01Pf|Naoto is holding a sealed letter...|Friend
SLP11S03R02Pf|Naoto: "How misleading... a sealed letter at a time like this..."|Friend
SLP11S04R01Pf|Naoto is holding a card.|Friend
SLP11S04R02Pf|Naoto: "I haven't the time to waste on this..."|Friend
SLP11S04R03Pf|Naoto: "But... to ignore it only makes me angry!"|Friend
SLP11S05R01Pf|Naoto: "*sigh* What should I do...?"|Friend
SLP11S05R02Pf|Naoto: "'Eating letters with a red face'...? This is..."|Friend
SLP11S05R03Pf|Naoto: "Grampa had this? Why did he keep it...?"|Friend
SLP11S05R04Pf|Naoto: "I, er... I think I'll let this play out... And, umm, if possible..."|Friend
SLP11S06R01Pf|Naoto: "Why you, though...?"|Friend
SLP11S06R02Pf|Naoto: "When the bank close, the fruit tree grows. By the large seven at at the third is the spot I chose..."|Friend
SLP11S06R03Pf|Naoto: "... ..."|Friend
SLP11S07R01Pf|Naoto: "Perhaps the 'minus' part is important..."|Friend
SLP11S07R02Pf|Naoto: "I feel that... I'm undergoing a change."|Friend
SLP11S08R01Pf|Naoto: "We may be able to catch him in the act."|Friend
SLP11S08R02Pf|The man brandished a knife.|Friend
SLP11S08R03Pf|Naoto: "Why...!?"|Lover
SLP11S08R03Pf|Naoto: "Why...!?"|Friend
SLP11S09R01Pf|Naoto: "A place I'd be fond of...?"|Friend
SLP11S09R02Pf|Naoto: "Next, what I 'can't stand' to do. There are several possibilities, but..."|Friend
SLP11S10R01Pl|Naoto: "Judging by the position of your TV, you regularly watch the Midnight Channel from..."|Lover
SLP11S10R02Pl|Naoto: "D-do you find the pitch of my voice strange?"|Lover
SLP11S10R01Pf|Naoto: "What about you?"|Friend
SLP11S10R02Pf|Naoto: "Now you're my assistant!"|Friend
SLP12S01R01Pf|P.E. Teacher: "Here, why don't you say something to the team?"|Friend
SLP12S01R02Pf|Kou: "...You've played before, right?"|Friend
SLP12S02R01Pf|Kou: "Hey Main Character, Aiya or Junes? You decide."|Friend
SLP12S02R02Pf|Kou: "Well, I do like me some sweets..."|Friend
SLP12S02R03Pf|Kou: You like sweets, Main Character? Want me to get you some, too?"|Friend
SLP12S03R01Pf|Daisuke: "...I want you to help him out."|Friend
SLP12S03R02Pf|Daisuke: "She calls it 'barbaric'"|Friend
SLP12S03R03Pf|Daisuke: "So... I want you to help him out."|Friend
SLP12S04R01Pf|Kou: "Just the other day I was greeting people at one of those high society gatherings. Can you imagine? Me at one of those things?"|Friend
SLP12S04R02Pf|Kou tries to sound cheerful...|Friend
SLP12S05R01Pf|Kou: "Hey. Practice over already?"|Friend
SLP12S05R02Pf|Kou: "But me, I'm feeling like I've sunk to the bottom of the ocean."|Friend
SLP12S06R01Pf|Daisuke: "Hey, Main Character, what's his problem? Is he sick or something"|Friend
SLP12S06R02Pf|Daisuke: "Right?"|Friend
SLP12S06R03Pf|Daisuke: "I got some dirt on a bunch of other guys too, so we should have no problem getting together a full team."|Friend
SLP12S07R01Pf|Kou: "Should I just leave?"|Friend
SLP12S07R02Pf|Kou: "Yeah, the orphanage."|Friend
SLP12S07R03Pf|Kou: "I was thinking maybe I'd ask about my real parents."|Friend
SLP12S08R01Pf|Daisuke: "I'm kinda worried..."|Friend
SLP12S08R02Pf|Kou: "What are you two doing here?"|Friend
SLP12S08R03Pf|Kou: "I have no one..."|Friend
SLP12S09R01Pf|Kou: "And now that I don't have to wear that mask anymore... I guess it's time to step off the stage."|Friend
SLP12S09R02Pf|Kou: "...What do you think?"|Friend
SLP12S09R03Pf|Kou: "How 'bout you? Wanna go for a dip?"|Friend
SLP12S10R01Pf|Kou: "Studying, lessons, and all that crap... I think I'm gonna keep doing it all."|Friend
SLP12S10R02Pf|Daisuke: "D-dude... We can't take this...!"|Friend
SLP13S01R01Pf|P.E. Teacher: "Here, why don't you say something to the team?"|Friend
SLP13S01R02Pf|Kou: "You played much soccer before, Main Character?"|Friend
SLP13S02R01Pf|Soccor Player: Hey Main Character, tear down the goals and clean up before you leave, alright?"|Friend
SLP13S02R02Pf|Daisuke: "Still, it went pretty fast with three people."|Friend
SLP13S04R01Pf|Daisuke: "Whatever... Girls are a pain in the ass, right, Main Character?"|Friend
SLP13S05R01Pf|Kou is also beaming like it's all thanks to him...|Friend
SLP13S06R01Pf|Kou: "I have to do some family stuff today, though. Would next time be okay?"|Friend
SLP13S07R01Pf|Daisuke: "I have to do the class record today so don't want to wait for me."|Friend
SLP13S07R02Pf|Kou: "Tell you what, we'll talk over mapo rice. My treat!"|Friend
SLP13S07R03Pf|Kou: "You think it could be related...?"|Friend
SLP13S07R04Pf|Kou: "What do you think?"|Friend
SLP13S07R05Pf|Kou is looking at you expectantly...|Friend
SLP13S08R01Pf|Their quarrel starts to escalate...|Friend
SLP13S08R02Pf|Daisuke: "You got that!? It's MY life! You guys have nothing to do with it."|Friend
SLP13S08R03Pf|Kou: "You can be pretty sincere when you want to be, Daisuke."|Friend
SLP13S09R01Pf|Daisuke: "I wonder if she's as stuck in the past as I am..."|Friend
SLP14S01R01Pf|Naoki: "Um, I apologize for saying I hated you when I first met you."|Friend
SLP14S02R01Pf|Naoki: "I usually eat here a lot because it's so close to our place, but for some reason, I haven't eaten here recently."|Friend
SLP14S02R02Pf|Naoki: "I mean... What exactly is an 'admirable life,' anyway?"|Friend
SLP14S03R01Pf|Naoki is laughing like he's having a good time...|Friend
SLP14S03R02Pf|Naoki is biting his lip...|Friend
SLP14S04R01Pf|Naoki looks distressed...|Friend
SLP14S04R02Pf|Naoki: "I'm sorry... It's a little awkward to be around me, huh?"|Friend
SLP14S05R01Pf|Naoki: "... ..."|Friend
SLP14S05R02Pf|Naoki: "... I have to do it"|Friend
SLP14S06R01Pf|Naoki: "They got all suspicious of me suddenly. I wasn't expecting that at all."|Friend
SLP14S06R02Pf|Naoki: "Am I really that pitiable...?"|Friend
SLP14S07R01Pf|Naoki: "I wanted to apologize for that."|Friend
SLP14S07R02Pf|Naoki: "How do I get out from that...? What would be best for me, for Sis...? I just don't know."|Friend
SLP14S08R01Pf|Naoki: "Ironic isn't it...?"|Friend
SLP14S08R02Pf|Naoki: "Yosuke-san sure is nosy. Oh wait, so are you..."|Friend
SLP14S09R01Pf|Naoki: "Because I wasn't able to cry like the actors on TV. I though that maybe I didn't actually like Sis..."|Friend
SLP14S09R02Pf|Naoki: "She must've wanted to live more, huh?"|Friend
SLP14S09R03Pf|Naoki is biting his lip...|Friend
SLP14S10R01Pf|Naoki: "It's all thanks to you."|Friend
SLP15S01R01Pf|Lady in black: "I've lived here all my life, but... I don't know you."|Friend
SLP15S01R02Pf|Lady in black: "My, is that so? If you're from the city, you may think it's a bit inconvenient here... But I think it's a nice town."|Friend
SLP15S01R03Pf|Hisano: "I am Death."|Friend
SLP15S02R01Pf|Hisano: "Haha, he was a  handsome man."|Friend
SLP15S02R02Pf|Hisano: "Do I look like Death to you?"|Friend
SLP15S03R01Pf|Hisano: "Watching the river here with you, like this, brings back memories..."|Friend
SLP15S03R02Pf|Hisano: "...I was happy back then."|Friend
SLP15S03R03Pf|Hisano: "He went to Heaven... and I will surely go to Hell."|Friend
SLP15S04R01Pf|Hisano: "My husband's tsuki meinchi is today, and I've just come back from visiting his grave."|Friend
SLP15S04R02Pf|Hisano: "For those trying to reach the gods, and to the families of those people, death can be an ally."|Friend
SLP15S04R03Pf|Hisano: "You don't quite understand it yet, do you?"|Friend
SLP15S05R01Pf|Hisano: "It must be boring, listening to this old bag's stories..."|Friend
SLP15S05R02Pf|Hisano: "Enough about me. I want to hear something from you. Tell me anything."|Friend
SLP15S05R03Pf|Hisano: "But... I do not want to see you anymore."|Friend
SLP15S06R01Pf|Hisano: "Being noncommittal... floating around, never deciding to be one thing nor another. Can a man understand that?"|Friend
SLP15S06R02Pf|Hisano: "But I wanted to write my reply so badly, so I would grow impatient and read it carefully, over and over."|Friend
SLP15S07R01Pf|What should you do?|Friend
SLP15S07R02Pf|Hisano: "I'm sure he never imagined that the 'Hisa-san' he loved would some day wish to see him dead..."|Friend
SLP15S07R03Pf|Hisano: "That was his punishment. Punishment for forgetting me..."|Friend
SLP15S08R01Pf|Hisano: "I must accept that..."|Friend
SLP15S09R01Pf|Hisano: "I didn't want to accept that he had died all by himself, not remembering me, leaving me behind..."|Friend
SLP15S09R02Pf|Hisano: "Haha... But it's too late now, isn't it?"|Friend
SLP15S10R01Pf|Hisano: "At first, I turned them down because I didn't want to leave the place I was born in, but..."|Friend
SLP15S10R02Pf|Hisano: "I'd feel that... our story hasn't truly ended..."|Friend
SLP15S10R03Pf|Hisano: "...Do you have someone you love?"|Friend
SLP16S01R01Pf|Yuuta's mother: "I've been sitting here all this time..."|Friend
SLP16S01R02Pf|Yuuta's mother: "My husband is away, so... Heh... It's just the two of us, alone together in a dark house."|Friend
SLP16S02R01Pf|Eri: "...Do you like children?"|Friend
SLP16S02R02Pf|Eri: "I don't hate him, but..."|Friend
SLP16S03R01Pf|Eri: "I guess he wants to see his father."|Friend
SLP16S03R02Pf|Eri: "*sigh* He's so inconsiderate..."|Friend
SLP16S04R01Pf|Eri: "I should have known better tha to try. We're not related, so there's nothing I can do about it..."|Friend
SLP16S04R02Pf|Eri: "Doesn't that make you feel better? Isn't that a wonderful idea?"|Friend
SLP16S04R03Pf|Eri: "Honestly, though... I just want to go back to the city."|Friend
SLP16S04R04Pf|Eri: "Please, don't tell Yuu-kin... Or the other mothers."|Friend
SLP16S05R01Pf|Yuuta: "...Is she mad at me"|Friend
SLP16S05R02Pf|Yuuta: "... ..."|Friend
SLP16S06R01Pf|Yuuta: "...I've never seen Poenix Ranger Featherman R."|Friend
SLP16S06R02Pf|Yuuta: "...She's always watching TV."|Friend
SLP16S06R03Pf|Eri: "*huff* *huff* I'm sorry I'm late..."|Friend
SLP16S06R04Pf|Eri: "I don't know what a child wants..."|Friend
SLP16S07R01Pf|Yuuta: "You told her I liked Phoenix Ranger Featherman R, huh?"|Friend
SLP16S07R02Pf|Yuuta: "I-In return for her gift!?"|Friend
SLP16S07R03Pf|Eri: "I wonder if he's afraid of me."|Friend
SLP16S07R04Pf|Eri: "He must hate the fact I'm here."|Friend
SLP16S08R01Pf|Ms. Nakamura: "Oh, who is this? He seems a bit young to be your husband."|Friend
SLP16S08R02Pf|Eri: "If only... If only he was a more studious child..."|Friend
SLP16S09R01Pf|Eri: "I'm sorry about the other day. Were you hurt?"|Friend
SLP16S09R02Pf|Yuuta: "...Sor...ry...|Friend
SLP16S09R03Pf|Eri: "He's actually a sweet boy..."|Friend
SLP16S09R04Pf|Eri: "...What took me so long, huh?"|Friend
SLP16S10R01Pf|Eri: "So, today's the last day he'll be here. When Yuuta's done with school, we'll spend time together at the house."|Friend
SLP17S01R01Pf|Sayoko: "Don't worry, no one'll see..."|Friend
SLP17S02R01Pf|Sayoko: "Would you like to study with me? Perhaps a subject that they don't teach in school, if you catch my drift...?"|Friend
SLP17S03R01Pf|Sayoko: "...So why are you working at a job like this?"|Friend
SLP17S03R02Pf|Sayoko: "Speaking of which... Say, do you have a girlfriend?"|Friend
SLP17S03R03Pf|Sayoko: "...Do you see what I'm getting at?"|Friend
SLP17S04R01Pf|Old lady in black: "Do you work here?"|Friend
SLP17S04R02Pf|Old lady in black: "But I won't be coming back here anymore..."|Friend
SLP17S04R03Pf|Sayoko: "...Don't ask what happened here."|Friend
SLP17S04R04Pf|Sayoko: "They only need me when they're my patients... in the end, they all leave me."|Friend
SLP17S05R01Pf|Sayoko: "That was the first time anyone ever called me a 'Slutty bitch' to my face..."|Friend
SLP17S05R02Pf|Sayoko: "*sigh* The other nurses were just watching with these stupid smirks on their faces."|Friend
SLP17S05R03Pf|Sayoko: "What am I living for...?"|Friend
SLP17S06R01Pf|Sayoko isn't saying anything...|Friend
SLP17S06R02Pf|Sayoko: "What am I doing...?"|Friend
SLP17S06R03Pf|Sayoko seems to be tormenting herself.|Friend
SLP17S07R01Pf|Sayoko looks a bit pale. She also seems to be very tired.|Friend
SLP17S09R01Pf|Middle-aged nurse: "We're going to be needing this room, so can you get all your cleaning supplies out of here?"|Friend
SLP17S09R02Pf|Sayoko: "I was just a little wobbly..."|Friend
SLP17S09R03Pf|What should you do...?|Friend
SLP17S09R04Pf|Sayoko: "Otherwise... I'd never be able to face him again..."|Friend
SLP17S10R01Pf|Sayoko: "I wanted to say goodbye."|Friend
SLP18S01R01Pf|Shu: "If I think you're inadequate, I'll have you replaced immediately. Remember that.|Friend
SLP18S01R02Pf|You feel confident that you should teach him:|Friend
SLP18S02R01Pf|Shu: "...If I get into a good college... Am I really 'set'?"|Friend
SLP18S02R02Pf|Shu: "...Do you know what that means?"|Friend
SLP18S02R03Pf|Shu: "Huh... Time's up. We were still in the middle of that last question..."|Friend
SLP18S03R01Pf|Shu: "What do you think of your school?"|Friend
SLP18S03R02Pf|Shu: "... ..."|Friend
SLP18S04R01Pf|Shu: "...They don't get what it means to learn at all."|Friend
SLP18S04R02Pf|Shu: "That place..."|Friend
SLP18S05R01Pf|Shu:: "Is there any bullying at your school?"|Friend
SLP18S05R02Pf|Shu: "Maybe that's not the same thing as bullying."|Friend
SLP18S05R03Pf|Shu: "It seems that I've been talking to you about things that really aren't relevant to my studies..."|Friend
SLP18S06R01Pf|Shu: "*Sigh*"|Friend
SLP18S06R02Pf|Shu: "...They're all stupid."|Friend
SLP18S06R03Pf|Shu: "Um... You only come here because you're being paid to, right?"|Friend
SLP18S07R01Pf|Shu: "...I wish I was a genius."|Friend
SLP18S07R02Pf|Shu: "Let's change the subject to something else. What's up?"|Friend
SLP18S08R01Pf|Shu: "Is it possible for anyone to be all those things? Do you know anyone like that?"|Friend
SLP18S08R02Pf|Shu: "...Every time I have that dream, the person gets one car closer to me."|Friend
SLP18S08R03Pf|Shu suddenly looks tormented...|Friend
SLP18S09R01Pf|Shu: "Today... is my birthday, I forgot..."|Friend
SLP18S09R02Pf|Shu looks sad...|Friend
SLP18S09R03Pf|First, you need...|Friend
SLP18S09R04Pf|Well... it looks like the only place you can order it.|Friend
SLP18S09R05Pf|Shu begins to sob...|Friend
SLP18S09R06Pf|Shu begins to cry again.|Friend
SLP18S10R01Pf|Shu: "Thank you for recognizing... 'me.' I wouldn't have been able to talk to Mom if you hadn't."|Friend
SLP20S01R01Pf|Ai: "Just knowing everyone else is still stuck at school studying makes it feel great to be out here."|Friend
SLP20S01R02Pf|Ai only seems to be concerned about her own shopping..."|Friend
SLP20S01R03Pf|Ai paid for everything with a gold card...|Friend
SLP20S02R01Pf|Ai: "Hmm, doesn't look like they've gotten anything new in. I already have all of this..."|Friend
SLP20S02R02Pf|Ai: "Buy me an ice latte."|Friend
SLP20S02R03Pf|Ai: "They should get rid of all salespeople and put in vending machines. Press a button, and out comes your clothes."|Friend
SLP20S03R01Pf|Ai: "What should we do instead?"|Friend
SLP20S03R02Pf|Ai: "Looking at it from your perspective, I'd say you got pretty lucky."|Friend
SLP20S03R03Pf|Ai rejected him without a second thought...|Friend
SLP20S04R01Pf|The conversation is getting more and more vulgar...|Friend
SLP20S04R02Pf|Ai: "... ..."|Friend
SLP20S05R01Pf|Ai: "Th-thank you for that, last time..."|Friend
SLP20S05R02Pf|Ai: "Do you think maybe I'm his type? O-or do you think he hates me..."|Friend
SLP20S05R03Pf|Ai: "All I need you to do is... ask him what's his type. That's it.|Friend
SLP20S06R01Pf|Ai: "But if I can't be loved, then what's the point!?"|Friend
SLP20S06R02Pf|Ai: "It's not like I have any other redeeming qualities..."|Friend
SLP20S06R03Pf|Ai: "Haha, just kidding."|Friend
SLP20S06R04Pf|Ai: "Hmm... do you think we can be a good match?"|Friend
