Social Link Id|Rank|Prompt Id|Answer Id
SL20|5|SLP200503F|SLA20050300F
SL20|5|SLP200503F|SLA20050302R
SL20|6|SLP200601F|SLA20060100F
SL20|6|SLP200602F|SLA20060200F
SL20|6|SLP200603F|SLA20060302F
SL20|6|SLP200604F|SLA20060402LF
SL20|7|SLP200701F|SLA20070101F
SL20|7|SLP200702F|SLA20070200F
SL20|8|SLP200801F|SLA20080101F
SL20|9|SLP200901F|SLA20090100F
SL20|9|SLP200902F|SLA20090201F
SL20|10|SLP201001L|SLA20100101L
SL20|10|SLP201001F|SLA20100102F
SL21|1|SLP210101F|SLA21010100F
SL21|1|SLP210102F|SLA21010200F
SL21|2|SLP210201F|SLA21020102F
SL21|2|SLP210202F|SLA21020200F
SL21|2|SLP210203F|SLA21020301F
SL21|3|SLP210301F|SLA21030100F
SL21|3|SLP210302F|SLA21030200F
SL21|3|SLP210303F|SLA21030300F
SL21|4|SLP210401F|SLA21040102F
SL21|4|SLP210402F|SLA21040201F
SL21|4|SLP210403F|SLA21040302F
SL21|5|SLP210501F|SLA21050102F
SL21|5|SLP210502F|SLA21050200F
SL21|5|SLP210503F|SLA21050303F
SL21|5|SLP210504F|SLA21050401F
SL21|6|SLP210601F|SLA21060103F
SL21|6|SLP210602F|SLA21060200F
SL21|7|SLP210701F|SLA21070102F
SL21|8|SLP210801F|SLA21080101F
SL21|9|SLP210901F|SLA21090100F
SL21|9|SLP210902F|SLA21090200F
SL21|9|SLP210903F|SLA21090303F
SL21|10|SLP211001L|SLA21100101L
SL21|10|SLP211001F|SLA21100102F
SL21|10|SLP211002L|SLA21100200L
SL22|1|SLP220101F|SLA22010100F
SL22|1|SLP220102F|SLA22010200F
SL22|1|SLP220103F|SLA22010301F
SL22|2|SLP220201F|SLA22020102F
SL22|2|SLP220201F|SLA22020101F
SL22|2|SLP220202F|SLA22020201F
SL22|3|SLP220301F|SLA22030102F
SL22|3|SLP220302F|SLA22030200F
SL22|3|SLP220303F|SLA22030301F
SL22|4|SLP220401F|SLA22040103F
SL22|4|SLP220401F|SLA22040100F
SL22|4|SLP220402F|SLA22040203F
SL22|4|SLP220402F|SLA22040202F
SL22|4|SLP220403F|SLA22040302F
SL22|4|SLP220403F|SLA22040303F
SL22|5|SLP220501F|SLA22050100F
SL22|5|SLP220502F|SLA22050203F
SL22|5|SLP220502F|SLA22050201F
SL22|7|SLP220701F|SLA22070101F
SL22|7|SLP220702F|SLA22070203F
SL22|7|SLP220702F|SLA22070201F
SL22|8|SLP220801L|SLA22080101L
SL22|8|SLP220801F|SLA22080102F
SL22|9|SLP220901L|SLA22090103L
SL22|9|SLP220901L|SLA22090102L
