Hangout Id|Date|Arcana Number|Activity Name
SAH-20110524III|2011-05-24|III|Hangout with Empress
SAH-20110524V|2011-05-24|V|Hangout with Hierophant
SAH-20110525II|2011-05-25|II|Hangout with Priestess
SAH-20110525XVIII|2011-05-25|XVIII|Hangout with Moon
SAH-20110525IX|2011-05-25|IX|Hangout with Hermit
SAH-20110525III|2011-05-25|III|Hangout with Empress
SAH-20110525VIII|2011-05-25|VIII|Hangout with Justice
SAH-20110525XV|2011-05-25|XV|Hangout with Devil
SAH-20110525XVI|2011-05-25|XVI|Hangout with Tower
SAH-20110526I|2011-05-26|I|Hangout with Magician
SAH-20110526VII|2011-05-26|VII|Hangout with Chariot
SAH-20110526II|2011-05-26|II|Hangout with Priestess
SAH-20110526XI|2011-05-26|XI|Hangout with Strength
SAH-20110526XIX|2011-05-26|XIX|Hangout with Sun
SAH-20110526XVIII|2011-05-26|XVIII|Hangout with Moon
SAH-20110526IX|2011-05-26|IX|Hangout with Hermit
SAH-20110526III|2011-05-26|III|Hangout with Empress
SAH-20110526V|2011-05-26|V|Hangout with Hierophant
SAH-20110526XV|2011-05-26|XV|Hangout with Devil
SAH-20110526XVI|2011-05-26|XVI|Hangout with Tower
SAH-20110527XVIII|2011-05-27|XVIII|Hangout with Moon
SAH-20110527XIV|2011-05-27|XIV|Hangout with Temperance
SAH-20110527IX|2011-05-27|IX|Hangout with Hermit
SAH-20110527III|2011-05-27|III|Hangout with Empress
SAH-20110527VIII|2011-05-27|VIII|Hangout with Justice
SAH-20110527XV|2011-05-27|XV|Hangout with Devil
SAH-20110528I|2011-05-28|I|Hangout with Magician
SAH-20110528VII|2011-05-28|VII|Hangout with Chariot
SAH-20110528XI|2011-05-28|XI|Hangout with Strength
SAH-20110528XIV|2011-05-28|XIV|Hangout with Temperance
SAH-20110528IX|2011-05-28|IX|Hangout with Hermit
SAH-20110528III|2011-05-28|III|Hangout with Empress
SAH-20110528V|2011-05-28|V|Hangout with Hierophant
SAH-20110528XVI|2011-05-28|XVI|Hangout with Tower
SAH-20110529I|2011-05-29|I|Hangout with Magician
SAH-20110529IX|2011-05-29|IX|Hangout with Hermit
SAH-20110529III|2011-05-29|III|Hangout with Empress
SAH-20110529V|2011-05-29|V|Hangout with Hierophant
SAH-20110530I|2011-05-30|I|Hangout with Magician
SAH-20110530VII|2011-05-30|VII|Hangout with Chariot
SAH-20110530II|2011-05-30|II|Hangout with Priestess
SAH-20110530XIX|2011-05-30|XIX|Hangout with Sun
SAH-20110530XIV|2011-05-30|XIV|Hangout with Temperance
SAH-20110530IX|2011-05-30|IX|Hangout with Hermit
SAH-20110530III|2011-05-30|III|Hangout with Empress
SAH-20110530VIII|2011-05-30|VIII|Hangout with Justice
SAH-20110531VII|2011-05-31|VII|Hangout with Chariot
SAH-20110531II|2011-05-31|II|Hangout with Priestess
SAH-20110531XI|2011-05-31|XI|Hangout with Strength
SAH-20110531XIX|2011-05-31|XIX|Hangout with Sun
SAH-20110531IX|2011-05-31|IX|Hangout with Hermit
SAH-20110531III|2011-05-31|III|Hangout with Empress
SAH-20110531V|2011-05-31|V|Hangout with Hierophant
SAH-20110531XVI|2011-05-31|XVI|Hangout with Tower
SAH-20110601II|2011-06-01|II|Hangout with Priestess
SAH-20110601XI|2011-06-01|XI|Hangout with Strength
SAH-20110601XVIII|2011-06-01|XVIII|Hangout with Moon
SAH-20110601IX|2011-06-01|IX|Hangout with Hermit
SAH-20110601III|2011-06-01|III|Hangout with Empress
SAH-20110601XV|2011-06-01|XV|Hangout with Devil
SAH-20110602XIX|2011-06-02|XIX|Hangout with Sun
SAH-20110602IX|2011-06-02|IX|Hangout with Hermit
SAH-20110602III|2011-06-02|III|Hangout with Empress
SAH-20110602VIII|2011-06-02|VIII|Hangout with Justice
SAH-20110602XV|2011-06-02|XV|Hangout with Devil
SAH-20110602XVI|2011-06-02|XVI|Hangout with Tower
SAH-20110603IX|2011-06-03|IX|Hangout with Hermit
SAH-20110603III|2011-06-03|III|Hangout with Empress
SAH-20110603V|2011-06-03|V|Hangout with Hierophant
SAH-20110603XV|2011-06-03|XV|Hangout with Devil
SAH-20110604IX|2011-06-04|IX|Hangout with Hermit
SAH-20110604III|2011-06-04|III|Hangout with Empress
SAH-20110605I|2011-06-05|I|Hangout with Magician
SAH-20110605VII|2011-06-05|VII|Hangout with Chariot
SAH-20110605XIII|2011-06-05|XIII|Hangout with Death
SAH-20110605IX|2011-06-05|IX|Hangout with Hermit
SAH-20110605III|2011-06-05|III|Hangout with Empress
SAH-20110605VIII|2011-06-05|VIII|Hangout with Justice
SAH-20110606V|2011-06-06|V|Hangout with Hierophant
SAH-20110607XIX|2011-06-07|XIX|Hangout with Sun
SAH-20110607IX|2011-06-07|IX|Hangout with Hermit
SAH-20110607III|2011-06-07|III|Hangout with Empress
SAH-20110607VIII|2011-06-07|VIII|Hangout with Justice
SAH-20110607XVI|2011-06-07|XVI|Hangout with Tower
SAH-20110608V|2011-06-08|V|Hangout with Hierophant
SAH-20110608XV|2011-06-08|XV|Hangout with Devil
SAH-20110609I|2011-06-09|I|Hangout with Magician
SAH-20110609VII|2011-06-09|VII|Hangout with Chariot
SAH-20110609II|2011-06-09|II|Hangout with Priestess
SAH-20110609IV|2011-06-09|IV|Hangout with Emperor
SAH-20110609XI|2011-06-09|XI|Hangout with Strength
SAH-20110609XIX|2011-06-09|XIX|Hangout with Sun
SAH-20110609XVIII|2011-06-09|XVIII|Hangout with Moon
SAH-20110609XII|2011-06-09|XII|Hangout with Hanged Man
SAH-20110609IX|2011-06-09|IX|Hangout with Hermit
SAH-20110609III|2011-06-09|III|Hangout with Empress
SAH-20110609V|2011-06-09|V|Hangout with Hierophant
SAH-20110609XV|2011-06-09|XV|Hangout with Devil
SAH-20110609XVI|2011-06-09|XVI|Hangout with Tower
SAH-20110610IX|2011-06-10|IX|Hangout with Hermit
SAH-20110610III|2011-06-10|III|Hangout with Empress
SAH-20110610VIII|2011-06-10|VIII|Hangout with Justice
SAH-20110610XV|2011-06-10|XV|Hangout with Devil
SAH-20110611I|2011-06-11|I|Hangout with Magician
SAH-20110611VII|2011-06-11|VII|Hangout with Chariot
SAH-20110611IV|2011-06-11|IV|Hangout with Emperor
SAH-20110611XI|2011-06-11|XI|Hangout with Strength
SAH-20110611XIV|2011-06-11|XIV|Hangout with Temperance
SAH-20110611IX|2011-06-11|IX|Hangout with Hermit
SAH-20110611III|2011-06-11|III|Hangout with Empress
SAH-20110611VIII|2011-06-11|VIII|Hangout with Justice
SAH-20110611XVI|2011-06-11|XVI|Hangout with Tower
SAH-20110612I|2011-06-12|I|Hangout with Magician
SAH-20110612II|2011-06-12|II|Hangout with Priestess
SAH-20110612IV|2011-06-12|IV|Hangout with Emperor
SAH-20110612XIII|2011-06-12|XIII|Hangout with Death
SAH-20110612IX|2011-06-12|IX|Hangout with Hermit
SAH-20110612III|2011-06-12|III|Hangout with Empress
SAH-20110612V|2011-06-12|V|Hangout with Hierophant
SAH-20110613I|2011-06-13|I|Hangout with Magician
SAH-20110613VII|2011-06-13|VII|Hangout with Chariot
SAH-20110613II|2011-06-13|II|Hangout with Priestess
SAH-20110613XIX|2011-06-13|XIX|Hangout with Sun
SAH-20110613XII|2011-06-13|XII|Hangout with Hanged Man
SAH-20110613XIV|2011-06-13|XIV|Hangout with Temperance
SAH-20110613IX|2011-06-13|IX|Hangout with Hermit
SAH-20110613III|2011-06-13|III|Hangout with Empress
SAH-20110613V|2011-06-13|V|Hangout with Hierophant
SAH-20110614XIX|2011-06-14|XIX|Hangout with Sun
SAH-20110614IX|2011-06-14|IX|Hangout with Hermit
SAH-20110614III|2011-06-14|III|Hangout with Empress
SAH-20110615II|2011-06-15|II|Hangout with Priestess
SAH-20110615IV|2011-06-15|IV|Hangout with Emperor
SAH-20110615XI|2011-06-15|XI|Hangout with Strength
SAH-20110615XVIII|2011-06-15|XVIII|Hangout with Moon
SAH-20110615XII|2011-06-15|XII|Hangout with Hanged Man
SAH-20110615IX|2011-06-15|IX|Hangout with Hermit
SAH-20110615III|2011-06-15|III|Hangout with Empress
SAH-20110615VIII|2011-06-15|VIII|Hangout with Justice
SAH-20110615XV|2011-06-15|XV|Hangout with Devil
SAH-20110616V|2011-06-16|V|Hangout with Hierophant
SAH-20110616XV|2011-06-16|XV|Hangout with Devil
SAH-20110616XVI|2011-06-16|XVI|Hangout with Tower
SAH-20110619I|2011-06-19|I|Hangout with Magician
SAH-20110619IV|2011-06-19|IV|Hangout with Emperor
SAH-20110619XIII|2011-06-19|XIII|Hangout with Death
SAH-20110619IX|2011-06-19|IX|Hangout with Hermit
SAH-20110619III|2011-06-19|III|Hangout with Empress
SAH-20110620I|2011-06-20|I|Hangout with Magician
SAH-20110620VII|2011-06-20|VII|Hangout with Chariot
SAH-20110620II|2011-06-20|II|Hangout with Priestess
SAH-20110620XIX|2011-06-20|XIX|Hangout with Sun
SAH-20110620XII|2011-06-20|XII|Hangout with Hanged Man
SAH-20110620XIV|2011-06-20|XIV|Hangout with Temperance
SAH-20110620IX|2011-06-20|IX|Hangout with Hermit
SAH-20110620III|2011-06-20|III|Hangout with Empress
SAH-20110620V|2011-06-20|V|Hangout with Hierophant
SAH-20110621XIX|2011-06-21|XIX|Hangout with Sun
SAH-20110621IX|2011-06-21|IX|Hangout with Hermit
SAH-20110621III|2011-06-21|III|Hangout with Empress
SAH-20110624XVIII|2011-06-24|XVIII|Hangout with Moon
SAH-20110624XII|2011-06-24|XII|Hangout with Hanged Man
SAH-20110624XIV|2011-06-24|XIV|Hangout with Temperance
SAH-20110624IX|2011-06-24|IX|Hangout with Hermit
SAH-20110624III|2011-06-24|III|Hangout with Empress
SAH-20110624VIII|2011-06-24|VIII|Hangout with Justice
SAH-20110624XV|2011-06-24|XV|Hangout with Devil
SAH-20110625IX|2011-06-25|IX|Hangout with Hermit
SAH-20110625III|2011-06-25|III|Hangout with Empress
SAH-20110625VIII|2011-06-25|VIII|Hangout with Justice
SAH-20110625XVI|2011-06-25|XVI|Hangout with Tower
SAH-20110626I|2011-06-26|I|Hangout with Magician
SAH-20110626IV|2011-06-26|IV|Hangout with Emperor
SAH-20110626XIII|2011-06-26|XIII|Hangout with Death
SAH-20110626IX|2011-06-26|IX|Hangout with Hermit
SAH-20110626III|2011-06-26|III|Hangout with Empress
SAH-20110626VIII|2011-06-26|VIII|Hangout with Justice
SAH-20110627I|2011-06-27|I|Hangout with Magician
SAH-20110627VII|2011-06-27|VII|Hangout with Chariot
SAH-20110627II|2011-06-27|II|Hangout with Priestess
SAH-20110627XIX|2011-06-27|XIX|Hangout with Sun
SAH-20110627XII|2011-06-27|XII|Hangout with Hanged Man
SAH-20110627XIV|2011-06-27|XIV|Hangout with Temperance
SAH-20110627IX|2011-06-27|IX|Hangout with Hermit
SAH-20110627III|2011-06-27|III|Hangout with Empress
SAH-20110627V|2011-06-27|V|Hangout with Hierophant
SAH-20110628VII|2011-06-28|VII|Hangout with Chariot
SAH-20110628II|2011-06-28|II|Hangout with Priestess
SAH-20110628XI|2011-06-28|XI|Hangout with Strength
SAH-20110628XIX|2011-06-28|XIX|Hangout with Sun
SAH-20110628XII|2011-06-28|XII|Hangout with Hanged Man
SAH-20110628IX|2011-06-28|IX|Hangout with Hermit
SAH-20110628III|2011-06-28|III|Hangout with Empress
SAH-20110628VIII|2011-06-28|VIII|Hangout with Justice
SAH-20110628XVI|2011-06-28|XVI|Hangout with Tower
SAH-20110629II|2011-06-29|II|Hangout with Priestess
SAH-20110629IV|2011-06-29|IV|Hangout with Emperor
SAH-20110629XI|2011-06-29|XI|Hangout with Strength
SAH-20110629XVIII|2011-06-29|XVIII|Hangout with Moon
SAH-20110629XII|2011-06-29|XII|Hangout with Hanged Man
SAH-20110629IX|2011-06-29|IX|Hangout with Hermit
SAH-20110629III|2011-06-29|III|Hangout with Empress
SAH-20110629V|2011-06-29|V|Hangout with Hierophant
SAH-20110629XV|2011-06-29|XV|Hangout with Devil
SAH-20110630I|2011-06-30|I|Hangout with Magician
SAH-20110630VII|2011-06-30|VII|Hangout with Chariot
SAH-20110630II|2011-06-30|II|Hangout with Priestess
SAH-20110630IV|2011-06-30|IV|Hangout with Emperor
SAH-20110630XI|2011-06-30|XI|Hangout with Strength
SAH-20110630XIX|2011-06-30|XIX|Hangout with Sun
SAH-20110630XVIII|2011-06-30|XVIII|Hangout with Moon
SAH-20110630XII|2011-06-30|XII|Hangout with Hanged Man
SAH-20110630IX|2011-06-30|IX|Hangout with Hermit
SAH-20110630III|2011-06-30|III|Hangout with Empress
SAH-20110630V|2011-06-30|V|Hangout with Hierophant
SAH-20110630XV|2011-06-30|XV|Hangout with Devil
SAH-20110630XVI|2011-06-30|XVI|Hangout with Tower
SAH-20110701IX|2011-07-01|IX|Hangout with Hermit
SAH-20110701III|2011-07-01|III|Hangout with Empress
SAH-20110701VIII|2011-07-01|VIII|Hangout with Justice
SAH-20110701XV|2011-07-01|XV|Hangout with Devil
SAH-20110702I|2011-07-02|I|Hangout with Magician
SAH-20110702VII|2011-07-02|VII|Hangout with Chariot
SAH-20110702IV|2011-07-02|IV|Hangout with Emperor
SAH-20110702XI|2011-07-02|XI|Hangout with Strength
SAH-20110702XIV|2011-07-02|XIV|Hangout with Temperance
SAH-20110702IX|2011-07-02|IX|Hangout with Hermit
SAH-20110702III|2011-07-02|III|Hangout with Empress
SAH-20110702VIII|2011-07-02|VIII|Hangout with Justice
SAH-20110702XVI|2011-07-02|XVI|Hangout with Tower
SAH-20110703I|2011-07-03|I|Hangout with Magician
SAH-20110703IV|2011-07-03|IV|Hangout with Emperor
SAH-20110703XIII|2011-07-03|XIII|Hangout with Death
SAH-20110703IX|2011-07-03|IX|Hangout with Hermit
SAH-20110703III|2011-07-03|III|Hangout with Empress
SAH-20110703V|2011-07-03|V|Hangout with Hierophant
SAH-20110704I|2011-07-04|I|Hangout with Magician
SAH-20110704VII|2011-07-04|VII|Hangout with Chariot
SAH-20110704II|2011-07-04|II|Hangout with Priestess
SAH-20110704XIX|2011-07-04|XIX|Hangout with Sun
SAH-20110704XII|2011-07-04|XII|Hangout with Hanged Man
SAH-20110704XIV|2011-07-04|XIV|Hangout with Temperance
SAH-20110704IX|2011-07-04|IX|Hangout with Hermit
SAH-20110704III|2011-07-04|III|Hangout with Empress
SAH-20110704VIII|2011-07-04|VIII|Hangout with Justice
SAH-20110705VII|2011-07-05|VII|Hangout with Chariot
SAH-20110705II|2011-07-05|II|Hangout with Priestess
SAH-20110705XI|2011-07-05|XI|Hangout with Strength
SAH-20110705XIX|2011-07-05|XIX|Hangout with Sun
SAH-20110705XII|2011-07-05|XII|Hangout with Hanged Man
SAH-20110705IX|2011-07-05|IX|Hangout with Hermit
SAH-20110705III|2011-07-05|III|Hangout with Empress
SAH-20110705VIII|2011-07-05|VIII|Hangout with Justice
SAH-20110705XVI|2011-07-05|XVI|Hangout with Tower
SAH-20110706II|2011-07-06|II|Hangout with Priestess
SAH-20110706IV|2011-07-06|IV|Hangout with Emperor
SAH-20110706XI|2011-07-06|XI|Hangout with Strength
SAH-20110706XVIII|2011-07-06|XVIII|Hangout with Moon
SAH-20110706XII|2011-07-06|XII|Hangout with Hanged Man
SAH-20110706IX|2011-07-06|IX|Hangout with Hermit
SAH-20110706III|2011-07-06|III|Hangout with Empress
SAH-20110706V|2011-07-06|V|Hangout with Hierophant
SAH-20110706XV|2011-07-06|XV|Hangout with Devil
SAH-20110707I|2011-07-07|I|Hangout with Magician
SAH-20110707VII|2011-07-07|VII|Hangout with Chariot
SAH-20110707II|2011-07-07|II|Hangout with Priestess
SAH-20110707IV|2011-07-07|IV|Hangout with Emperor
SAH-20110707XI|2011-07-07|XI|Hangout with Strength
SAH-20110707XIX|2011-07-07|XIX|Hangout with Sun
SAH-20110707XVIII|2011-07-07|XVIII|Hangout with Moon
SAH-20110707XII|2011-07-07|XII|Hangout with Hanged Man
SAH-20110707IX|2011-07-07|IX|Hangout with Hermit
SAH-20110707III|2011-07-07|III|Hangout with Empress
SAH-20110707XV|2011-07-07|XV|Hangout with Devil
SAH-20110707XVI|2011-07-07|XVI|Hangout with Tower
SAH-20110708IX|2011-07-08|IX|Hangout with Hermit
SAH-20110708III|2011-07-08|III|Hangout with Empress
SAH-20110708VIII|2011-07-08|VIII|Hangout with Justice
SAH-20110708XV|2011-07-08|XV|Hangout with Devil
SAH-20110709IX|2011-07-09|IX|Hangout with Hermit
SAH-20110709III|2011-07-09|III|Hangout with Empress
SAH-20110711VIII|2011-07-11|VIII|Hangout with Justice
SAH-20110712IX|2011-07-12|IX|Hangout with Hermit
SAH-20110712III|2011-07-12|III|Hangout with Empress
SAH-20110712VIII|2011-07-12|VIII|Hangout with Justice
SAH-20110712XVI|2011-07-12|XVI|Hangout with Tower
SAH-20110713II|2011-07-13|II|Hangout with Priestess
SAH-20110713IX|2011-07-13|IX|Hangout with Hermit
SAH-20110713III|2011-07-13|III|Hangout with Empress
SAH-20110713V|2011-07-13|V|Hangout with Hierophant
SAH-20110713XV|2011-07-13|XV|Hangout with Devil
SAH-20110714I|2011-07-14|I|Hangout with Magician
SAH-20110714IV|2011-07-14|IV|Hangout with Emperor
SAH-20110714IX|2011-07-14|IX|Hangout with Hermit
SAH-20110714III|2011-07-14|III|Hangout with Empress
SAH-20110714VIII|2011-07-14|VIII|Hangout with Justice
SAH-20110714XV|2011-07-14|XV|Hangout with Devil
SAH-20110714XVI|2011-07-14|XVI|Hangout with Tower
SAH-20110715VII|2011-07-15|VII|Hangout with Chariot
SAH-20110715XIV|2011-07-15|XIV|Hangout with Temperance
SAH-20110715IX|2011-07-15|IX|Hangout with Hermit
SAH-20110715III|2011-07-15|III|Hangout with Empress
SAH-20110715V|2011-07-15|V|Hangout with Hierophant
SAH-20110715XV|2011-07-15|XV|Hangout with Devil
SAH-20110716IX|2011-07-16|IX|Hangout with Hermit
SAH-20110716III|2011-07-16|III|Hangout with Empress
SAH-20110716VIII|2011-07-16|VIII|Hangout with Justice
SAH-20110716XVI|2011-07-16|XVI|Hangout with Tower
SAH-20110717I|2011-07-17|I|Hangout with Magician
SAH-20110717II|2011-07-17|II|Hangout with Priestess
SAH-20110717IV|2011-07-17|IV|Hangout with Emperor
SAH-20110717XIII|2011-07-17|XIII|Hangout with Death
SAH-20110717IX|2011-07-17|IX|Hangout with Hermit
SAH-20110717III|2011-07-17|III|Hangout with Empress
SAH-20110717VIII|2011-07-17|VIII|Hangout with Justice
SAH-20110718I|2011-07-18|I|Hangout with Magician
SAH-20110718VII|2011-07-18|VII|Hangout with Chariot
SAH-20110718II|2011-07-18|II|Hangout with Priestess
SAH-20110718XIV|2011-07-18|XIV|Hangout with Temperance
SAH-20110718IX|2011-07-18|IX|Hangout with Hermit
SAH-20110718III|2011-07-18|III|Hangout with Empress
SAH-20110718V|2011-07-18|V|Hangout with Hierophant
SAH-20110723VI|2011-07-23|VI|Hangout with Lovers
SAH-20110724I|2011-07-24|I|Hangout with Magician
SAH-20110724IV|2011-07-24|IV|Hangout with Emperor
SAH-20110724VI|2011-07-24|VI|Hangout with Lovers
SAH-20110724XIII|2011-07-24|XIII|Hangout with Death
SAH-20110724IX|2011-07-24|IX|Hangout with Hermit
SAH-20110724III|2011-07-24|III|Hangout with Empress
SAH-20110724VIII|2011-07-24|VIII|Hangout with Justice
SAH-20110725I|2011-07-25|I|Hangout with Magician
SAH-20110725VII|2011-07-25|VII|Hangout with Chariot
SAH-20110725II|2011-07-25|II|Hangout with Priestess
SAH-20110725XI|2011-07-25|XI|Hangout with Strength
SAH-20110725XIX|2011-07-25|XIX|Hangout with Sun
SAH-20110725XII|2011-07-25|XII|Hangout with Hanged Man
SAH-20110725XIV|2011-07-25|XIV|Hangout with Temperance
SAH-20110725IX|2011-07-25|IX|Hangout with Hermit
SAH-20110725III|2011-07-25|III|Hangout with Empress
SAH-20110725VIII|2011-07-25|VIII|Hangout with Justice
SAH-20110726XIX|2011-07-26|XIX|Hangout with Sun
SAH-20110726IX|2011-07-26|IX|Hangout with Hermit
SAH-20110726III|2011-07-26|III|Hangout with Empress
SAH-20110727IX|2011-07-27|IX|Hangout with Hermit
SAH-20110727III|2011-07-27|III|Hangout with Empress
SAH-20110727VIII|2011-07-27|VIII|Hangout with Justice
SAH-20110727XV|2011-07-27|XV|Hangout with Devil
SAH-20110728IX|2011-07-28|IX|Hangout with Hermit
SAH-20110728III|2011-07-28|III|Hangout with Empress
SAH-20110728XV|2011-07-28|XV|Hangout with Devil
SAH-20110728XVI|2011-07-28|XVI|Hangout with Tower
SAH-20110729XIV|2011-07-29|XIV|Hangout with Temperance
SAH-20110729IX|2011-07-29|IX|Hangout with Hermit
SAH-20110729III|2011-07-29|III|Hangout with Empress
SAH-20110729VIII|2011-07-29|VIII|Hangout with Justice
SAH-20110729XV|2011-07-29|XV|Hangout with Devil
SAH-20110730I|2011-07-30|I|Hangout with Magician
SAH-20110730VII|2011-07-30|VII|Hangout with Chariot
SAH-20110730IV|2011-07-30|IV|Hangout with Emperor
SAH-20110730VI|2011-07-30|VI|Hangout with Lovers
SAH-20110730XIV|2011-07-30|XIV|Hangout with Temperance
SAH-20110730IX|2011-07-30|IX|Hangout with Hermit
SAH-20110730III|2011-07-30|III|Hangout with Empress
SAH-20110730VIII|2011-07-30|VIII|Hangout with Justice
SAH-20110730XVI|2011-07-30|XVI|Hangout with Tower
SAH-20110731I|2011-07-31|I|Hangout with Magician
SAH-20110731IV|2011-07-31|IV|Hangout with Emperor
SAH-20110731VI|2011-07-31|VI|Hangout with Lovers
SAH-20110731XIII|2011-07-31|XIII|Hangout with Death
SAH-20110731IX|2011-07-31|IX|Hangout with Hermit
SAH-20110731III|2011-07-31|III|Hangout with Empress
SAH-20110801I|2011-08-01|I|Hangout with Magician
SAH-20110801VII|2011-08-01|VII|Hangout with Chariot
SAH-20110801II|2011-08-01|II|Hangout with Priestess
SAH-20110801XIV|2011-08-01|XIV|Hangout with Temperance
SAH-20110801IX|2011-08-01|IX|Hangout with Hermit
SAH-20110801III|2011-08-01|III|Hangout with Empress
SAH-20110801VIII|2011-08-01|VIII|Hangout with Justice
SAH-20110802VII|2011-08-02|VII|Hangout with Chariot
SAH-20110802II|2011-08-02|II|Hangout with Priestess
SAH-20110802IX|2011-08-02|IX|Hangout with Hermit
SAH-20110802III|2011-08-02|III|Hangout with Empress
SAH-20110802XVI|2011-08-02|XVI|Hangout with Tower
SAH-20110803II|2011-08-03|II|Hangout with Priestess
SAH-20110803IV|2011-08-03|IV|Hangout with Emperor
SAH-20110803IX|2011-08-03|IX|Hangout with Hermit
SAH-20110803III|2011-08-03|III|Hangout with Empress
SAH-20110803VIII|2011-08-03|VIII|Hangout with Justice
SAH-20110803XV|2011-08-03|XV|Hangout with Devil
SAH-20110804I|2011-08-04|I|Hangout with Magician
SAH-20110804VII|2011-08-04|VII|Hangout with Chariot
SAH-20110804II|2011-08-04|II|Hangout with Priestess
